Customer Name,Invoice Date ,Credit Terms,Actual Delay over and above Agreed Credit Terms,Invoice Currency,Invoice Amount
4,2023-10-31,30,21.0,USD,4050.0
4,2023-10-31,30,-21.0,USD,5832.0
4,2023-10-31,30,-17.0,USD,5670.0
4,2023-10-31,30,-17.0,USD,5400.0
4,2023-10-31,30,14.0,USD,5400.0
4,2023-10-31,30,-17.0,USD,4050.0
4,2023-10-31,30,,USD,5130.0
4,2023-10-31,30,-16.0,USD,4158.0
4,2023-10-31,30,-16.0,USD,5643.0
4,2023-10-31,30,,USD,4320.0
4,2023-10-31,30,7.0,USD,5049.0
4,2023-10-31,30,-16.0,USD,5049.0
4,2023-10-31,30,14.0,USD,5130.0
4,2023-10-31,30,,USD,5940.0
4,2023-10-31,30,7.0,USD,5494.5
4,2023-10-31,30,12.0,USD,5890.32
4,2023-10-31,30,15.0,USD,1944.0
4,2023-10-31,30,68.0,USD,2430.0
4,2023-11-29,30,-17.0,USD,-5890.32
4,2023-11-29,30,-15.0,USD,5832.0
4,2023-11-29,30,-15.0,USD,8800.0
4,2023-11-30,30,8.0,USD,15200.0
4,2023-11-30,30,46.0,USD,13697.88
4,2023-11-30,30,8.0,USD,27060.0
4,2023-11-30,30,-15.0,USD,18040.0
4,2023-11-30,30,-11.0,USD,13120.0
4,2023-11-30,30,-16.0,USD,16400.0
4,2023-11-30,30,-16.0,USD,5670.0
4,2023-11-30,30,8.0,USD,6480.0
4,2023-11-30,30,-17.0,USD,5184.0
4,2023-11-30,30,-16.0,USD,5940.0
4,2023-11-30,30,-11.0,USD,5400.0
4,2023-11-30,30,8.0,USD,5670.0
4,2023-11-30,30,-11.0,USD,5472.0
4,2023-11-30,30,19.0,USD,4320.0
4,2023-11-30,30,-11.0,USD,4896.0
4,2023-11-30,30,8.0,USD,5832.0
4,2023-11-30,30,-16.0,USD,6237.0
4,2023-11-30,30,-11.0,USD,5670.0
4,2023-11-30,30,,USD,4590.0
4,2023-11-30,30,,USD,6534.0
4,2023-11-30,30,-11.0,USD,4860.0
4,2023-11-30,30,46.0,USD,5940.0
4,2023-11-30,30,38.0,USD,4860.0
4,2023-11-30,30,,USD,6088.5
4,2023-11-30,30,-16.0,USD,5940.0
4,2023-11-30,30,-11.0,USD,5400.0
4,2023-11-30,30,-12.0,USD,5670.0
4,2023-11-30,30,-11.0,USD,5940.0
4,2023-11-30,30,-17.0,USD,6804.0
4,2023-11-30,30,-12.0,USD,5670.0
4,2023-11-30,30,-12.0,USD,5430.0
4,2023-11-30,30,-12.0,USD,5400.0
4,2023-11-30,30,19.0,USD,4590.0
4,2023-11-30,30,-11.0,USD,7200.0
4,2023-11-30,30,-11.0,USD,5400.0
4,2023-11-30,30,-12.0,USD,6480.0
4,2023-11-30,30,24.0,USD,6300.0
4,2023-11-30,30,-16.0,USD,6192.0
4,2023-11-30,30,-16.0,USD,6048.0
4,2023-11-30,30,-16.0,USD,6480.0
4,2023-12-31,30,4.0,USD,15548.37
4,2023-12-31,30,4.0,USD,15200.0
4,2023-12-31,30,4.0,USD,760.0
4,2023-12-31,30,4.0,USD,26400.0
4,2023-12-31,30,-23.0,USD,17600.0
4,2023-12-31,30,-18.0,USD,16000.0
4,2023-12-31,30,-30.0,USD,4320.0
4,2023-12-31,30,,USD,5508.0
4,2023-12-31,30,-23.0,USD,5328.0
4,2023-12-31,30,-30.0,USD,-3510.0
4,2023-12-31,30,-30.0,USD,-810.0
4,2023-12-31,30,-30.0,USD,-18400.0
4,2023-12-31,30,-30.0,USD,-540.0
4,2023-12-31,30,-30.0,USD,-4320.0
4,2023-12-31,30,-16.0,USD,7040.0
4,2023-12-31,30,-18.0,USD,5346.0
4,2023-12-31,30,,USD,6156.0
4,2023-12-31,30,-16.0,USD,4320.0
4,2023-12-31,30,-16.0,USD,5184.0
4,2023-12-31,30,,USD,5400.0
4,2023-12-31,30,-16.0,USD,5472.0
4,2023-12-31,30,4.0,USD,4725.0
4,2023-12-31,30,,USD,5130.0
4,2023-12-31,30,-18.0,USD,5346.0
4,2023-12-31,30,-16.0,USD,5130.0
4,2023-12-31,30,,USD,5400.0
4,2023-12-31,30,,USD,5643.0
4,2023-12-31,30,,USD,5400.0
4,2023-12-31,30,15.0,USD,5643.0
4,2023-12-31,30,-16.0,USD,5670.0
4,2023-12-31,30,7.0,USD,5049.0
4,2023-12-31,30,-21.0,USD,5643.0
4,2023-12-31,30,-16.0,USD,3780.0
4,2023-12-31,30,-18.0,USD,4860.0
4,2023-12-31,30,-18.0,USD,3780.0
4,2023-12-31,30,-21.0,USD,6480.0
4,2023-12-31,30,-16.0,USD,4860.0
4,2023-12-31,30,-18.0,USD,5400.0
4,2023-12-31,30,-18.0,USD,5520.0
4,2023-12-31,30,-12.0,USD,3780.0
4,2023-12-31,30,-18.0,USD,4860.0
4,2023-12-31,30,-18.0,USD,6480.0
4,2023-12-31,30,,USD,6300.0
4,2023-12-31,30,-21.0,USD,5472.0
4,2023-12-31,30,-21.0,USD,6048.0
4,2023-12-31,30,-21.0,USD,6480.0
4,2023-12-31,30,-7.0,USD,7200.0
4,2024-01-31,30,,USD,7200.0
4,2024-01-31,30,,USD,3036.24
4,2024-01-31,30,,USD,15200.0
4,2024-01-31,30,,USD,20546.82
4,2024-01-31,30,,USD,18480.0
4,2024-01-31,30,,USD,16800.0
4,2024-01-31,30,,USD,26400.0
4,2024-01-31,30,,USD,5400.0
4,2024-01-31,30,,USD,6156.0
4,2024-01-31,30,,USD,5760.0
4,2024-01-31,30,,USD,15909.96
4,2024-01-31,30,,USD,5130.0
4,2024-01-31,30,,USD,3510.0
4,2024-01-31,30,,USD,15005.99
4,2024-01-31,30,,USD,14760.0
4,2024-01-31,30,,USD,7920.0
4,2024-01-31,30,,USD,6480.0
4,2024-01-31,30,,USD,6048.0
4,2024-01-31,30,,USD,6048.0
4,2024-01-31,30,,USD,6300.0
4,2024-01-31,30,,USD,6804.0
4,2024-01-31,30,,USD,5400.0
4,2024-01-31,30,,USD,7200.0
4,2024-01-31,30,,USD,5130.0
4,2024-01-31,30,,USD,5130.0
4,2024-01-31,30,,USD,5670.0
4,2024-01-31,30,,USD,6804.0
4,2024-01-31,30,,USD,5130.0
4,2024-01-31,30,,USD,5670.0
4,2024-01-31,30,,USD,5400.0
4,2024-01-31,30,,USD,5643.0
4,2024-01-31,30,,USD,6237.0
4,2024-01-31,30,,USD,5670.0
4,2024-01-31,30,,USD,5346.0
4,2024-01-31,30,,USD,5940.0
4,2024-01-31,30,,USD,6237.0
4,2024-01-31,30,-16.0,USD,4752.0
4,2024-01-31,30,,USD,5400.0
4,2024-01-31,30,,USD,5670.0
4,2024-01-31,30,,USD,5130.0
4,2024-01-31,30,-16.0,USD,5643.0
4,2024-01-31,30,,USD,5760.0
4,2024-01-31,30,,USD,5760.0
4,2024-01-31,30,-18.0,USD,5832.0
4,2024-01-31,30,-16.0,USD,6048.0
4,2024-01-31,30,,USD,5400.0
4,2024-01-31,30,,USD,5670.0
5,2023-10-31,60,19.0,USD,34194.0
5,2023-10-31,60,13.0,USD,21168.0
5,2023-10-31,60,19.0,USD,23492.0
5,2023-10-31,60,19.0,USD,17600.0
5,2023-10-31,60,19.0,USD,22800.0
5,2023-10-31,60,19.0,USD,66803.52
5,2023-10-31,60,13.0,USD,18040.0
5,2023-10-31,60,19.0,USD,36960.0
5,2023-10-31,60,19.0,USD,40672.0
5,2023-10-31,60,19.0,USD,46264.0
5,2023-10-31,60,30.0,USD,116168.0
5,2023-10-31,60,19.0,USD,11760.0
5,2023-10-31,60,,USD,11760.0
5,2023-10-31,60,30.0,USD,32884.96
5,2023-10-31,60,30.0,USD,18040.0
5,2023-10-31,60,19.0,USD,134110.72
5,2023-10-31,60,13.0,USD,25464.0
5,2023-10-31,60,19.0,USD,194008.0
5,2023-10-31,60,19.0,USD,81288.0
5,2023-10-31,60,,USD,46512.0
5,2023-10-31,60,30.0,USD,8439.44
5,2023-10-31,60,13.0,USD,29752.8
5,2023-10-31,60,30.0,USD,22797.6
5,2023-10-31,60,13.0,USD,41352.96
5,2023-10-31,60,19.0,USD,49371.84
5,2023-10-31,60,19.0,USD,568516.96
5,2023-10-31,60,19.0,USD,9240.0
5,2023-10-31,60,19.0,USD,64098.72
5,2023-10-31,60,,USD,26928.0
5,2023-10-31,60,19.0,USD,69074.88
5,2023-10-31,60,,USD,92064.0
5,2023-10-31,60,19.0,USD,50400.0
5,2023-10-31,60,30.0,USD,34472.0
5,2023-10-31,60,,USD,11760.0
5,2023-10-31,60,19.0,USD,6864.0
5,2023-10-31,60,19.0,USD,12432.0
5,2023-10-31,60,19.0,USD,8400.0
5,2023-10-31,60,19.0,USD,34760.0
5,2023-10-31,60,19.0,USD,93795.52
5,2023-10-31,60,13.0,USD,44544.0
5,2023-10-31,60,13.0,USD,21315.84
5,2023-10-31,60,13.0,USD,53088.0
5,2023-10-31,60,30.0,USD,7640.0
5,2023-10-31,60,30.0,USD,6240.0
5,2023-10-31,60,19.0,USD,57276.88
5,2023-10-31,60,19.0,USD,157664.0
5,2023-10-31,60,13.0,USD,110208.0
5,2023-10-31,60,19.0,USD,251400.28
5,2023-10-31,60,13.0,USD,96592.64
5,2023-10-31,60,,USD,115227.84
5,2023-10-31,60,13.0,USD,45848.0
